date,queue,language,forecast_calls,partner_forecast_calls,actual_offered_calls,handled_calls,abandoned_calls,avg_aht_seconds,avg_required_agents,avg_available_agents,avg_staffing_gap,avg_occupancy,avg_service_level_30s,forecast_error,forecast_error_pct,partner_error,abandon_rate
2024-01-01,Customer Service,DE,496.799,563.005,544.0,146.069,397.931,478.02204166666667,6.690958333333334,1.875,-4.815958333333334,0.7639666666666667,0.25810625,47.20100000000002,0.0867665441176471,-19.004999999999995,0.7314908088235293
2024-01-01,Customer Service,EN,133.475,136.668,124.0,81.81099999999999,42.189,415.98262500000004,1.5662500000000001,1.25,-0.31625,0.5837854166666666,0.6994229166666667,-9.474999999999994,-0.0764112903225806,-12.668000000000006,0.34023387096774194
2024-01-01,Customer Service,FR,170.549,177.52,170.0,129.988,40.012,370.7989166666666,1.765625,1.875,0.10937499999999999,0.5623104166666667,0.7595916666666667,-0.5490000000000066,-0.003229411764705921,-7.52000000000001,0.23536470588235295
2024-01-01,Customer Service,IT,151.714,162.623,146.0,115.407,30.593,360.8901458333333,1.5414791666666667,1.875,0.3335208333333333,0.4962229166666667,0.7865958333333333,-5.713999999999999,-0.03913698630136985,-16.62299999999999,0.20954109589041095
2024-01-01,Sales,DE,239.832,227.697,244.0,145.815,98.185,385.6217916666667,2.620083333333333,1.875,-0.7450833333333332,0.6378791666666667,0.65276875,4.168000000000006,0.01708196721311478,16.302999999999997,0.4023975409836066
2024-01-01,Sales,EN,67.57,79.131,69.0,58.302,10.698,343.8354583333333,0.6579375,1.875,1.2170625,0.24685208333333333,0.8659791666666666,1.4300000000000068,0.02072463768115952,-10.131,0.15504347826086956
2024-01-01,Sales,FR,71.415,71.579,70.0,57.535000000000004,12.465,309.1152916666667,0.62475,1.875,1.25025,0.25914583333333335,0.85415625,-1.4150000000000063,-0.020214285714285803,-1.5789999999999935,0.17807142857142857
2024-01-01,Sales,IT,72.174,80.786,70.0,58.762,11.238,284.25047916666665,0.5793125,1.875,1.2956874999999999,0.22870000000000001,0.8737354166666668,-2.1740000000000066,-0.03105714285714295,-10.786000000000001,0.16054285714285713
2024-01-02,Customer Service,DE,388.017,447.134,387.0,148.725,238.275,463.70177083333334,5.07525,1.875,-3.20025,0.7561958333333334,0.40188124999999997,-1.016999999999996,-0.0026279069767441753,-60.134000000000015,0.6156976744186047
2024-01-02,Customer Service,EN,96.88,121.28,93.0,74.712,18.288,402.4827708333333,1.1048125,1.875,0.7701875,0.37355,0.8300375,-3.8799999999999955,-0.04172043010752683,-28.28,0.19664516129032258
2024-01-02,Customer Service,FR,114.498,130.415,98.0,89.068,8.932,357.2533125,1.1520625,1.875,0.7229375,0.39347708333333337,0.8526291666666667,-16.498000000000005,-0.16834693877551024,-32.41499999999999,0.09114285714285715
2024-01-02,Customer Service,IT,118.418,135.578,118.0,99.565,18.435,335.80325,1.129,1.875,0.746,0.40804166666666664,0.829775,-0.41800000000000637,-0.0035423728813559863,-17.578000000000003,0.15622881355932203
2024-01-02,Sales,DE,211.568,214.452,218.0,140.47299999999998,77.527,398.67922916666663,2.3850208333333334,1.875,-0.5100208333333334,0.6435208333333333,0.6727895833333334,6.431999999999988,0.029504587155963248,3.548000000000002,0.3556284403669725
2024-01-02,Sales,EN,58.945,61.335,53.0,47.657,5.343,345.2963333333333,0.5785625,1.875,1.2964375,0.21955625,0.8959687500000001,-5.945,-0.11216981132075472,-8.335,0.10081132075471698
