weekday_name,interval_start,queue,language,avg_model_forecast,avg_required_agents,avg_available_agents,avg_gap,high_risk_rate
Fri,08:00,Customer Service,DE,5.730250000000001,3.6826666666666665,0.9166666666666666,-2.766,1.0
Fri,08:15,Customer Service,DE,5.211916666666666,3.3344166666666664,0.9166666666666666,-2.41775,1.0
Fri,08:30,Customer Service,DE,5.753916666666666,3.6963333333333335,0.9166666666666666,-2.779666666666667,1.0
Fri,08:45,Customer Service,DE,4.751333333333333,3.0375,0.9166666666666666,-2.120833333333333,0.9166666666666666
Fri,09:00,Customer Service,DE,5.316833333333333,3.4038333333333335,1.5,-1.9038333333333333,1.0
Fri,09:15,Customer Service,DE,5.69125,3.6494999999999997,1.5,-2.1495,1.0
Fri,09:30,Customer Service,DE,5.2495,3.362166666666667,1.5,-1.8621666666666667,0.9166666666666666
Fri,09:45,Customer Service,DE,5.209499999999999,3.3387499999999997,1.5,-1.8387499999999999,0.8333333333333334
Fri,10:00,Customer Service,DE,5.613083333333333,3.59,1.1666666666666667,-2.4233333333333333,1.0
Fri,10:15,Customer Service,DE,5.648499999999999,3.6300000000000003,2.0833333333333335,-1.5466666666666666,0.75
Fri,10:30,Customer Service,DE,6.2375,4.02025,2.0833333333333335,-1.9369166666666666,0.75
Fri,10:45,Customer Service,DE,5.65125,3.623583333333333,2.0833333333333335,-1.5402500000000001,0.6666666666666666
Fri,11:00,Customer Service,DE,5.737166666666667,3.686916666666667,2.4166666666666665,-1.27025,0.6666666666666666
Fri,11:15,Customer Service,DE,5.577083333333333,3.5845,3.0,-0.5845,0.5
Fri,11:30,Customer Service,DE,5.409,3.4639166666666665,3.0,-0.4639166666666667,0.4166666666666667
Fri,11:45,Customer Service,DE,5.4014999999999995,3.4676666666666667,3.0,-0.4676666666666667,0.5
Fri,12:00,Customer Service,DE,4.6555,2.98375,1.5,-1.48375,0.5833333333333334
Fri,12:15,Customer Service,DE,5.117083333333333,3.283666666666667,2.0833333333333335,-1.2003333333333333,0.6666666666666666
Fri,12:30,Customer Service,DE,4.740083333333334,3.032583333333333,2.0833333333333335,-0.94925,0.5
Fri,12:45,Customer Service,DE,4.873833333333334,3.123583333333333,2.0833333333333335,-1.0402500000000001,0.5833333333333334
Fri,13:00,Customer Service,DE,5.216583333333333,3.318,1.5,-1.8179999999999998,0.75
Fri,13:15,Customer Service,DE,5.692833333333333,3.654666666666667,1.5,-2.154666666666667,0.8333333333333334
Fri,13:30,Customer Service,DE,5.350666666666666,3.432166666666667,2.4166666666666665,-1.0155,0.75
Fri,13:45,Customer Service,DE,4.858416666666667,3.1160833333333335,2.4166666666666665,-0.6994166666666667,0.6666666666666666
Fri,14:00,Customer Service,DE,5.022,3.2112499999999997,2.4166666666666665,-0.7945833333333333,0.6666666666666666
Fri,14:15,Customer Service,DE,5.17875,3.313,1.8333333333333333,-1.4796666666666667,1.0
Fri,14:30,Customer Service,DE,5.273833333333333,3.3838333333333335,2.4166666666666665,-0.9671666666666666,0.8333333333333334
